Date_Key,Date,Year,Quarter,Month,Day,Start_Of_Year,Start_Of_Quarter,Start_Of_Month
20220509,2022-05-09,2022,2,5,9,2022-01-01,2022-04-01,2022-05-01
20220801,2022-08-01,2022,3,8,1,2022-01-01,2022-07-01,2022-08-01
20220221,2022-02-21,2022,1,2,21,2022-01-01,2022-01-01,2022-02-01
20220107,2022-01-07,2022,1,1,7,2022-01-01,2022-01-01,2022-01-01
20220628,2022-06-28,2022,2,6,28,2022-01-01,2022-04-01,2022-06-01
20220207,2022-02-07,2022,1,2,7,2022-01-01,2022-01-01,2022-02-01
20220831,2022-08-31,2022,3,8,31,2022-01-01,2022-07-01,2022-08-01
20220311,2022-03-11,2022,1,3,11,2022-01-01,2022-01-01,2022-03-01
20220110,2022-01-10,2022,1,1,10,2022-01-01,2022-01-01,2022-01-01
20220629,2022-06-29,2022,2,6,29,2022-01-01,2022-04-01,2022-06-01
20220704,2022-07-04,2022,3,7,4,2022-01-01,2022-07-01,2022-07-01
20220627,2022-06-27,2022,2,6,27,2022-01-01,2022-04-01,2022-06-01
20220201,2022-02-01,2022,1,2,1,2022-01-01,2022-01-01,2022-02-01
20220530,2022-05-30,2022,2,5,30,2022-01-01,2022-04-01,2022-05-01
20220606,2022-06-06,2022,2,6,6,2022-01-01,2022-04-01,2022-06-01
20220729,2022-07-29,2022,3,7,29,2022-01-01,2022-07-01,2022-07-01
20220126,2022-01-26,2022,1,1,26,2022-01-01,2022-01-01,2022-01-01
20220711,2022-07-11,2022,3,7,11,2022-01-01,2022-07-01,2022-07-01
20220302,2022-03-02,2022,1,3,2,2022-01-01,2022-01-01,2022-03-01
20220316,2022-03-16,2022,1,3,16,2022-01-01,2022-01-01,2022-03-01
20220429,2022-04-29,2022,2,4,29,2022-01-01,2022-04-01,2022-04-01
20220111,2022-01-11,2022,1,1,11,2022-01-01,2022-01-01,2022-01-01
20220714,2022-07-14,2022,3,7,14,2022-01-01,2022-07-01,2022-07-01
20220503,2022-05-03,2022,2,5,3,2022-01-01,2022-04-01,2022-05-01
20220114,2022-01-14,2022,1,1,14,2022-01-01,2022-01-01,2022-01-01
20220308,2022-03-08,2022,1,3,8,2022-01-01,2022-01-01,2022-03-01
20220725,2022-07-25,2022,3,7,25,2022-01-01,2022-07-01,2022-07-01
20220112,2022-01-12,2022,1,1,12,2022-01-01,2022-01-01,2022-01-01
20220223,2022-02-23,2022,1,2,23,2022-01-01,2022-01-01,2022-02-01
20220309,2022-03-09,2022,1,3,9,2022-01-01,2022-01-01,2022-03-01
20220425,2022-04-25,2022,2,4,25,2022-01-01,2022-04-01,2022-04-01
20220705,2022-07-05,2022,3,7,5,2022-01-01,2022-07-01,2022-07-01
20220722,2022-07-22,2022,3,7,22,2022-01-01,2022-07-01,2022-07-01
20220413,2022-04-13,2022,2,4,13,2022-01-01,2022-04-01,2022-04-01
20220401,2022-04-01,2022,2,4,1,2022-01-01,2022-04-01,2022-04-01
20220217,2022-02-17,2022,1,2,17,2022-01-01,2022-01-01,2022-02-01
20220826,2022-08-26,2022,3,8,26,2022-01-01,2022-07-01,2022-08-01
20220314,2022-03-14,2022,1,3,14,2022-01-01,2022-01-01,2022-03-01
20220317,2022-03-17,2022,1,3,17,2022-01-01,2022-01-01,2022-03-01
20220322,2022-03-22,2022,1,3,22,2022-01-01,2022-01-01,2022-03-01
20220525,2022-05-25,2022,2,5,25,2022-01-01,2022-04-01,2022-05-01
20220304,2022-03-04,2022,1,3,4,2022-01-01,2022-01-01,2022-03-01
20220224,2022-02-24,2022,1,2,24,2022-01-01,2022-01-01,2022-02-01
20220708,2022-07-08,2022,3,7,8,2022-01-01,2022-07-01,2022-07-01
20220630,2022-06-30,2022,2,6,30,2022-01-01,2022-04-01,2022-06-01
20220517,2022-05-17,2022,2,5,17,2022-01-01,2022-04-01,2022-05-01
20220519,2022-05-19,2022,2,5,19,2022-01-01,2022-04-01,2022-05-01
20220427,2022-04-27,2022,2,4,27,2022-01-01,2022-04-01,2022-04-01
20220225,2022-02-25,2022,1,2,25,2022-01-01,2022-01-01,2022-02-01
20220105,2022-01-05,2022,1,1,5,2022-01-01,2022-01-01,2022-01-01
20220323,2022-03-23,2022,1,3,23,2022-01-01,2022-01-01,2022-03-01
20220527,2022-05-27,2022,2,5,27,2022-01-01,2022-04-01,2022-05-01
20220822,2022-08-22,2022,3,8,22,2022-01-01,2022-07-01,2022-08-01
20220804,2022-08-04,2022,3,8,4,2022-01-01,2022-07-01,2022-08-01
20220720,2022-07-20,2022,3,7,20,2022-01-01,2022-07-01,2022-07-01
20220303,2022-03-03,2022,1,3,3,2022-01-01,2022-01-01,2022-03-01
20220421,2022-04-21,2022,2,4,21,2022-01-01,2022-04-01,2022-04-01
20220117,2022-01-17,2022,1,1,17,2022-01-01,2022-01-01,2022-01-01
20220131,2022-01-31,2022,1,1,31,2022-01-01,2022-01-01,2022-01-01
20220817,2022-08-17,2022,3,8,17,2022-01-01,2022-07-01,2022-08-01
20220215,2022-02-15,2022,1,2,15,2022-01-01,2022-01-01,2022-02-01
20220422,2022-04-22,2022,2,4,22,2022-01-01,2022-04-01,2022-04-01
20220121,2022-01-21,2022,1,1,21,2022-01-01,2022-01-01,2022-01-01
20220803,2022-08-03,2022,3,8,3,2022-01-01,2022-07-01,2022-08-01
20220103,2022-01-03,2022,1,1,3,2022-01-01,2022-01-01,2022-01-01
20220805,2022-08-05,2022,3,8,5,2022-01-01,2022-07-01,2022-08-01
20220808,2022-08-08,2022,3,8,8,2022-01-01,2022-07-01,2022-08-01
20220818,2022-08-18,2022,3,8,18,2022-01-01,2022-07-01,2022-08-01
20220411,2022-04-11,2022,2,4,11,2022-01-01,2022-04-01,2022-04-01
20220209,2022-02-09,2022,1,2,9,2022-01-01,2022-01-01,2022-02-01
20220728,2022-07-28,2022,3,7,28,2022-01-01,2022-07-01,2022-07-01
20220824,2022-08-24,2022,3,8,24,2022-01-01,2022-07-01,2022-08-01
20220420,2022-04-20,2022,2,4,20,2022-01-01,2022-04-01,2022-04-01
20220607,2022-06-07,2022,2,6,7,2022-01-01,2022-04-01,2022-06-01
20220321,2022-03-21,2022,1,3,21,2022-01-01,2022-01-01,2022-03-01
20220228,2022-02-28,2022,1,2,28,2022-01-01,2022-01-01,2022-02-01
